Organismo Fuente,Especie,Frecuencia
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
